"node_id","node_type","layer","label","degree","weighted_degree","in_degree","out_degree","betweenness_centrality","eigenvector_centrality","component_id"
"DOM_CC3___SURVEILLANCE","implementation_domain","analytical_assessment_layer","CC3 – Surveillance","12","12.0","12","0","0.0","0.098346","0"
"DOM_CC5___PREPAREDNESS","implementation_domain","analytical_assessment_layer","CC5 – Preparedness","6","6.0","6","0","0.0","0.065851","0"
"IHR-OBL-003","ihr2005_obligation","international_normative_layer","IHR Art. 5(2) — Surveillance","7","6.2","2","5","5.4e-05","8.2e-05","0"
"DOM_POLICY_AND_FINANCING","implementation_domain","analytical_assessment_layer","policy and financing","3","3.0","3","0","0.0","0.020923","0"
"IHR-OBL-004","ihr2005_obligation","international_normative_layer","IHR Art. 6(1) — Notification","7","10.2","4","3","4.6e-05","0.000486","0"
"DOM_CC2___NFP","implementation_domain","analytical_assessment_layer","CC2 – NFP","8","8.0","8","0","0.0","0.053351","0"
"IHR-OBL-005","ihr2005_obligation","international_normative_layer","IHR Art. 6(2) — Notification","6","5.4","2","4","2.8e-05","9.5e-05","0"
"DOM_CC6___RISK_COMMUNICATION","implementation_domain","analytical_assessment_layer","CC6 – Risk communication","2","2.0","2","0","0.0","0.008222","0"
"IHR-OBL-006","ihr2005_obligation","international_normative_layer","IHR Art. 7 — Information-sharing during unexpected or unusual public health events","6","6.0","2","4","3.7e-05","0.000136","0"
"DOM_CC3___SURVEILLANCE__EVENT_BASED","implementation_domain","analytical_assessment_layer","CC3 – Surveillance (event-based)","1","1.0","1","0","0.0","0.005122","0"
"IHR-OBL-007","ihr2005_obligation","international_normative_layer","IHR Art. 8 — Consultation","6","5.5","3","3","4.2e-05","0.000169","0"
"IHR-OBL-008","ihr2005_obligation","international_normative_layer","IHR Art. 9(2) — Other reports","5","4.4","1","4","1.1e-05","2.8e-05","0"
"DOM_POE___POINTS_OF_ENTRY","implementation_domain","analytical_assessment_layer","PoE – Points of Entry","23","23.0","23","0","0.0","0.143308","0"
"IHR-OBL-009","ihr2005_obligation","international_normative_layer","IHR Art. 10(2) — Verification","5","4.9","2","3","2.3e-05","0.000129","0"
